state,district,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Sabah,Pitas,2023-01-01,13.0,11.8,1.2,12.1,51.7,9.4,47.0
Sabah,Pitas,2024-01-01,13.8,12.5,1.3,12.0,53.5,9.6,48.4
Sabah,Putatan,2018-01-01,28.6,26.7,1.9,16.1,63.9,6.7,59.7
Sabah,Putatan,2019-01-01,29.6,27.7,2.0,16.1,64.8,6.7,60.6
Sabah,Putatan,2020-01-01,,70.2,2.0,11.6,72.2,6.8,
Sabah,Putatan,2021-01-01,31.2,29.0,2.1,12.0,72.2,6.9,67.1
Sabah,Putatan,2022-01-01,32.0,30.1,1.9,12.1,72.5,6.0,68.3
Sabah,Putatan,2023-01-01,33.3,31.3,2.0,12.3,73.0,6.0,68.6
Sabah,Putatan,2024-01-01,34.6,32.5,2.1,12.4,73.7,6.1,69.1
Sabah,Ranau,2018-01-01,55.4,52.4,3.0,23.2,70.5,5.4,66.7
Sabah,Ranau,2019-01-01,58.7,55.5,3.2,22.8,72.0,5.5,68.1
Sabah,Ranau,2020-01-01,,39.0,3.5,16.9,67.6,9.8,
Sabah,Ranau,2021-01-01,36.5,32.5,3.9,17.3,67.9,10.7,60.4
Sabah,Ranau,2022-01-01,37.3,33.9,3.4,17.1,68.5,9.1,62.3
Sabah,Ranau,2023-01-01,39.0,35.5,3.5,17.0,69.7,9.1,63.4
Sabah,Ranau,2024-01-01,40.3,36.6,3.7,17.1,70.2,9.3,63.8
Sabah,Sandakan,2018-01-01,244.8,230.3,14.6,113.4,68.3,6.0,64.3
Sabah,Sandakan,2019-01-01,251.8,236.4,15.4,102.1,71.1,6.1,66.8
Sabah,Sandakan,2020-01-01,,235.7,16.6,87.4,71.8,7.5,
Sabah,Sandakan,2021-01-01,220.9,204.5,16.4,85.6,72.1,7.4,66.7
Sabah,Sandakan,2022-01-01,223.5,207.5,16.0,86.7,72.0,7.1,66.9
Sabah,Sandakan,2023-01-01,244.0,227.2,16.8,92.2,72.6,6.9,67.6
Sabah,Sandakan,2024-01-01,261.5,243.8,17.7,96.5,73.0,6.8,68.1
Sabah,Semporna,2018-01-01,79.4,74.6,4.8,45.7,63.5,6.1,59.6
Sabah,Semporna,2019-01-01,83.4,78.1,5.2,47.5,63.7,6.3,59.7
Sabah,Semporna,2020-01-01,,23.3,6.8,41.2,64.5,9.1,
Sabah,Semporna,2021-01-01,73.5,66.5,7.1,38.7,65.5,9.6,59.3
Sabah,Semporna,2022-01-01,76.8,70.2,6.6,39.0,66.3,8.6,60.6
Sabah,Semporna,2023-01-01,88.6,81.2,7.5,41.9,67.9,8.4,62.2
Sabah,Semporna,2024-01-01,96.9,88.8,8.1,43.1,69.2,8.4,63.4
Sabah,Sipitang,2018-01-01,19.6,18.3,1.3,9.5,67.4,6.6,62.9
Sabah,Sipitang,2019-01-01,20.5,19.2,1.4,9.7,67.9,6.7,63.6
Sabah,Sipitang,2020-01-01,,8.3,1.5,7.3,68.8,9.3,
Sabah,Sipitang,2021-01-01,16.4,14.8,1.6,7.7,68.2,9.9,61.4
Sabah,Sipitang,2022-01-01,17.0,15.6,1.5,7.8,68.6,8.6,62.9
Sabah,Sipitang,2023-01-01,18.1,16.6,1.5,7.8,69.9,8.5,64.1
Sabah,Sipitang,2024-01-01,19.2,17.5,1.7,7.8,71.2,8.7,64.8
Sabah,Tambunan,2018-01-01,23.1,21.9,1.2,9.7,70.3,5.3,66.8
Sabah,Tambunan,2019-01-01,25.1,23.8,1.3,9.2,73.1,5.3,69.4
Sabah,Tambunan,2020-01-01,,30.6,1.3,6.3,67.4,9.6,
Sabah,Tambunan,2021-01-01,13.2,11.8,1.4,6.4,67.2,10.4,60.2
Sabah,Tambunan,2022-01-01,13.6,12.4,1.2,6.6,67.4,9.0,61.4
Sabah,Tambunan,2023-01-01,14.4,13.1,1.3,6.5,69.0,9.0,62.7
Sabah,Tambunan,2024-01-01,15.0,13.7,1.4,6.4,70.0,9.0,64.0
Sabah,Tawau,2018-01-01,269.0,253.7,15.2,114.4,70.2,5.7,66.2
Sabah,Tawau,2019-01-01,280.2,264.6,15.6,109.4,71.9,5.6,67.9
Sabah,Tawau,2020-01-01,,31.4,15.4,79.7,70.1,8.2,
Sabah,Tawau,2021-01-01,188.1,172.6,15.4,81.0,69.9,8.2,64.1
Sabah,Tawau,2022-01-01,189.4,175.2,14.2,77.4,71.0,7.5,65.7
Sabah,Tawau,2023-01-01,205.7,191.4,14.3,79.3,72.2,7.0,67.2
Sabah,Tawau,2024-01-01,219.7,204.2,15.5,79.9,73.3,7.1,68.2
Sabah,Telupid,2018-01-01,,,,,,,
Sabah,Telupid,2019-01-01,,,,,,,
Sabah,Telupid,2020-01-01,,104.1,1.0,10.4,50.3,9.7,
Sabah,Telupid,2021-01-01,10.8,9.7,1.2,10.5,50.6,10.6,45.5
Sabah,Telupid,2022-01-01,10.6,9.6,1.0,10.2,50.9,9.1,46.2
Sabah,Telupid,2023-01-01,11.4,10.3,1.0,10.5,52.0,9.1,47.0
Sabah,Telupid,2024-01-01,12.1,10.9,1.1,10.5,53.4,9.3,48.2
Sabah,Tenom,2018-01-01,32.7,30.8,1.8,14.0,70.0,5.7,66.0
Sabah,Tenom,2019-01-01,34.0,32.0,2.0,14.6,70.0,5.9,65.8
Sabah,Tenom,2020-01-01,,19.2,2.3,10.7,66.8,10.5,
Sabah,Tenom,2021-01-01,22.1,19.4,2.7,10.8,67.2,12.3,59.0
Sabah,Tenom,2022-01-01,22.6,20.1,2.5,11.0,67.2,11.2,59.8
Sabah,Tenom,2023-01-01,23.6,21.0,2.6,11.1,68.0,10.9,60.5
Sabah,Tenom,2024-01-01,24.8,22.0,2.8,10.9,69.5,11.1,61.6
Sabah,Tongod,2018-01-01,22.8,21.5,1.3,9.5,70.6,5.8,66.6
Sabah,Tongod,2019-01-01,22.8,21.4,1.4,9.3,70.9,6.3,66.7
Sabah,Tongod,2020-01-01,83.0,12.9,1.7,15.2,48.9,11.4,13.1
Sabah,Tongod,2021-01-01,14.9,13.2,1.7,14.7,50.3,11.3,44.6
Sabah,Tongod,2022-01-01,15.1,13.7,1.4,14.5,51.1,9.5,46.3
Sabah,Tongod,2023-01-01,16.1,14.6,1.5,14.9,52.0,9.4,47.1
Sabah,Tongod,2024-01-01,16.8,15.2,1.6,15.0,52.8,9.7,47.8
Sabah,Tuaran,2018-01-01,55.9,52.8,3.0,31.4,64.0,5.4,60.5
Sabah,Tuaran,2019-01-01,60.6,57.3,3.3,28.8,67.8,5.4,64.1
Sabah,Tuaran,2020-01-01,90.1,49.0,5.1,32.0,62.9,9.5,40.1
Sabah,Tuaran,2021-01-01,54.9,49.4,5.5,32.9,62.6,10.1,56.3
Sabah,Tuaran,2022-01-01,56.2,51.3,4.9,33.4,62.7,8.7,57.3
Sabah,Tuaran,2023-01-01,58.7,53.6,5.1,33.9,63.4,8.7,57.9
Sabah,Tuaran,2024-01-01,60.5,55.2,5.3,34.8,63.5,8.8,57.9
Sarawak,Asajaya,2018-01-01,16.1,15.5,0.6,8.6,65.2,3.5,62.8
Sarawak,Asajaya,2019-01-01,16.9,16.3,0.6,8.4,66.8,3.4,64.4
Sarawak,Asajaya,2020-01-01,14.5,14.0,0.5,7.4,66.0,3.5,63.9
Sarawak,Asajaya,2021-01-01,14.5,13.9,0.5,7.8,65.0,3.6,62.3
Sarawak,Asajaya,2022-01-01,14.7,14.3,0.4,7.8,65.4,2.8,63.6
Sarawak,Asajaya,2023-01-01,15.2,15.0,0.4,7.5,67.2,2.5,66.1
Sarawak,Asajaya,2024-01-01,15.6,15.3,0.3,7.4,67.8,2.2,66.5
Sarawak,Bau,2018-01-01,28.8,27.9,0.9,12.8,69.1,3.3,67.1
Sarawak,Bau,2019-01-01,29.5,28.5,1.0,12.8,69.7,3.2,67.4
Sarawak,Bau,2020-01-01,24.9,23.8,1.0,12.2,67.1,4.1,64.2
Sarawak,Bau,2021-01-01,24.6,23.4,1.2,12.6,66.1,4.8,62.9
Sarawak,Bau,2022-01-01,25.4,24.3,1.1,11.9,68.0,4.5,65.1
Sarawak,Bau,2023-01-01,26.4,25.5,0.9,11.5,69.6,3.2,67.3
Sarawak,Bau,2024-01-01,26.4,25.6,0.8,11.6,69.5,2.9,67.4
Sarawak,Belaga,2018-01-01,21.1,20.5,0.6,9.8,68.3,2.7,66.3
Sarawak,Belaga,2019-01-01,21.5,20.9,0.6,9.4,69.6,2.8,67.6
Sarawak,Belaga,2020-01-01,11.3,10.3,0.9,5.9,65.6,8.3,59.9
Sarawak,Belaga,2021-01-01,11.4,10.5,0.9,6.2,64.8,8.0,59.7
Sarawak,Belaga,2022-01-01,11.3,10.5,0.9,6.1,64.8,7.5,60.3
Sarawak,Belaga,2023-01-01,11.7,11.0,0.7,6.1,65.9,6.3,61.8
Sarawak,Belaga,2024-01-01,11.8,11.1,0.7,5.9,66.7,5.9,62.7
Sarawak,Beluru,2018-01-01,,,,,,,
Sarawak,Beluru,2019-01-01,,,,,,,
Sarawak,Beluru,2020-01-01,13.5,13.1,0.3,6.8,66.3,2.3,64.5
Sarawak,Beluru,2021-01-01,13.7,13.4,0.3,7.3,65.2,2.4,63.8
Sarawak,Beluru,2022-01-01,13.5,13.2,0.3,6.6,67.0,2.0,65.7
Sarawak,Beluru,2023-01-01,13.6,13.4,0.2,6.5,67.5,1.5,66.7
Sarawak,Beluru,2024-01-01,13.3,13.0,0.2,6.2,68.0,1.6,66.7
Sarawak,Betong,2018-01-01,32.0,31.1,0.9,15.9,66.8,2.9,64.9
Sarawak,Betong,2019-01-01,32.8,31.9,0.9,16.2,67.0,2.7,65.1
Sarawak,Betong,2020-01-01,16.0,15.5,0.5,9.0,64.0,3.0,62.0
Sarawak,Betong,2021-01-01,15.7,15.2,0.5,9.2,63.0,3.1,61.0
Sarawak,Betong,2022-01-01,15.9,15.5,0.4,9.2,63.3,2.5,61.8
Sarawak,Betong,2023-01-01,16.5,16.1,0.3,9.1,64.4,1.7,62.9
Sarawak,Betong,2024-01-01,16.6,16.3,0.3,9.0,64.8,1.9,63.7
Sarawak,Bintulu,2018-01-01,114.5,111.2,3.2,46.2,71.3,2.8,69.2
Sarawak,Bintulu,2019-01-01,116.1,113.1,3.0,45.0,72.0,2.6,70.2
Sarawak,Bintulu,2020-01-01,88.5,85.5,3.0,41.0,68.3,3.4,66.0
Sarawak,Bintulu,2021-01-01,90.9,87.7,3.2,38.3,70.4,3.5,67.9
Sarawak,Bintulu,2022-01-01,95.2,92.7,2.5,37.4,71.8,2.6,69.9
Sarawak,Bintulu,2023-01-01,100.5,100.0,2.4,36.9,73.5,2.4,72.8
Sarawak,Bintulu,2024-01-01,105.0,102.7,2.3,35.5,74.8,2.2,73.1
Sarawak,Bukit Mabong,2018-01-01,,,,,,,
Sarawak,Bukit Mabong,2019-01-01,,,,,,,
Sarawak,Bukit Mabong,2020-01-01,4.3,4.2,0.2,2.6,62.5,3.5,60.9
Sarawak,Bukit Mabong,2021-01-01,4.2,4.1,0.2,2.7,60.7,3.6,59.4
Sarawak,Bukit Mabong,2022-01-01,4.3,4.2,0.1,2.6,62.6,2.9,60.9
Sarawak,Bukit Mabong,2023-01-01,4.5,4.3,0.1,2.5,63.8,2.6,61.4
Sarawak,Bukit Mabong,2024-01-01,4.5,4.4,0.1,2.5,64.4,2.8,62.9
Sarawak,Dalat,2018-01-01,10.0,9.7,0.3,4.5,68.7,3.2,66.9
Sarawak,Dalat,2019-01-01,10.2,9.9,0.3,4.6,68.9,3.1,66.9
Sarawak,Dalat,2020-01-01,9.4,9.0,0.4,4.9,65.8,3.7,62.9
Sarawak,Dalat,2021-01-01,9.2,8.8,0.4,5.0,64.6,3.9,62.0
Sarawak,Dalat,2022-01-01,9.3,9.0,0.3,5.1,64.7,3.2,62.5
Sarawak,Dalat,2023-01-01,9.7,9.4,0.3,5.1,65.6,3.0,63.5
Sarawak,Dalat,2024-01-01,9.8,9.6,0.2,5.1,65.9,2.3,64.4
Sarawak,Daro,2018-01-01,15.8,15.4,0.4,8.6,64.9,2.8,63.1
Sarawak,Daro,2019-01-01,15.9,15.5,0.4,8.8,64.4,2.5,62.8
Sarawak,Daro,2020-01-01,8.6,8.2,0.5,4.4,66.0,5.3,63.1
Sarawak,Daro,2021-01-01,8.6,8.0,0.5,4.6,65.0,6.2,60.6
Sarawak,Daro,2022-01-01,8.7,8.2,0.5,4.5,65.7,5.7,62.1
Sarawak,Daro,2023-01-01,8.7,8.8,0.4,4.4,67.5,4.5,67.2
Sarawak,Daro,2024-01-01,9.2,8.9,0.3,4.4,67.6,3.8,65.4
Sarawak,Gedong,2021-01-01,,,,,,,
Sarawak,Gedong,2022-01-01,,,,,,,
Sarawak,Gedong,2023-01-01,,,,,,,
Sarawak,Gedong,2024-01-01,,,,,,,
Sarawak,Julau,2018-01-01,7.8,7.5,0.3,4.3,64.6,4.4,62.0
Sarawak,Julau,2019-01-01,8.2,7.9,0.3,4.2,66.4,4.0,63.7
Sarawak,Julau,2020-01-01,6.3,6.0,0.3,3.9,61.8,4.9,58.8
Sarawak,Julau,2021-01-01,6.2,5.9,0.3,4.0,60.9,5.2,57.8
Sarawak,Julau,2022-01-01,6.3,6.1,0.3,3.9,61.7,4.5,59.8
Sarawak,Julau,2023-01-01,6.6,6.3,0.2,3.9,63.0,3.5,60.0
Sarawak,Julau,2024-01-01,6.7,6.5,0.2,3.9,63.3,3.0,61.3
Sarawak,Kabong,2018-01-01,,,,,,,
Sarawak,Kabong,2019-01-01,,,,,,,
Sarawak,Kabong,2020-01-01,7.9,7.7,0.2,4.6,63.3,3.1,61.6
Sarawak,Kabong,2021-01-01,7.8,7.6,0.2,4.8,62.0,3.1,60.3
Sarawak,Kabong,2022-01-01,7.8,7.7,0.2,4.8,62.2,2.5,61.1
Sarawak,Kabong,2023-01-01,8.1,8.0,0.2,4.6,63.7,1.9,63.0
Sarawak,Kabong,2024-01-01,8.2,8.0,0.2,4.5,64.2,2.0,63.0
Sarawak,Kanowit,2018-01-01,14.6,14.0,0.6,7.7,65.3,3.8,62.8
Sarawak,Kanowit,2019-01-01,15.2,14.7,0.5,7.6,66.6,3.5,64.5
Sarawak,Kanowit,2020-01-01,10.1,9.4,0.7,5.9,62.9,6.6,58.8
Sarawak,Kanowit,2021-01-01,10.0,9.2,0.8,6.1,62.1,7.7,57.1
Sarawak,Kanowit,2022-01-01,10.1,9.5,0.6,6.0,62.7,6.3,59.0
Sarawak,Kanowit,2023-01-01,10.5,9.9,0.6,5.9,63.9,5.8,60.4
Sarawak,Kanowit,2024-01-01,10.6,10.0,0.6,5.9,64.3,5.3,60.6
Sarawak,Kapit,2018-01-01,28.4,27.4,1.0,14.4,66.4,3.6,64.0
Sarawak,Kapit,2019-01-01,29.2,28.1,1.1,14.5,66.9,3.9,64.3
Sarawak,Kapit,2020-01-01,15.5,14.7,0.8,8.4,64.9,4.9,61.5
Sarawak,Kapit,2021-01-01,15.4,14.5,0.9,8.7,63.9,5.9,60.2
Sarawak,Kapit,2022-01-01,15.7,14.8,0.9,8.8,64.0,5.6,60.4
Sarawak,Kapit,2023-01-01,16.2,15.7,0.7,8.7,65.5,4.4,63.1
Sarawak,Kapit,2024-01-01,16.7,16.0,0.7,8.6,65.8,4.2,63.2
Sarawak,Kuching,2018-01-01,318.4,309.2,9.2,153.2,67.5,2.9,65.6
Sarawak,Kuching,2019-01-01,325.0,315.3,9.7,154.5,67.8,3.0,65.8
Sarawak,Kuching,2020-01-01,287.9,276.8,11.1,136.8,67.8,3.9,65.2
Sarawak,Kuching,2021-01-01,294.2,283.0,11.2,135.9,68.4,3.8,65.8
Sarawak,Kuching,2022-01-01,303.2,294.0,9.2,129.0,70.2,3.0,68.0
Sarawak,Kuching,2023-01-01,312.4,306.0,9.1,125.9,71.4,2.9,69.8
Sarawak,Kuching,2024-01-01,319.5,310.4,9.0,122.6,72.3,2.8,70.2
Sarawak,Lawas,2018-01-01,22.1,21.4,0.8,8.6,71.9,3.4,69.7
Sarawak,Lawas,2019-01-01,22.4,21.6,0.7,8.7,71.9,3.2,69.5
Sarawak,Lawas,2020-01-01,15.3,14.4,0.9,8.7,63.7,6.1,60.0
Sarawak,Lawas,2021-01-01,15.2,14.2,1.0,9.0,62.7,6.5,58.7
Sarawak,Lawas,2022-01-01,15.4,14.5,0.9,9.1,63.0,5.7,59.2
Sarawak,Lawas,2023-01-01,17.1,15.3,0.8,9.1,64.0,4.9,58.4
Sarawak,Lawas,2024-01-01,16.3,15.6,0.8,8.9,64.6,4.6,61.9
Sarawak,Limbang,2018-01-01,26.8,25.8,1.0,10.6,71.7,3.8,69.0
Sarawak,Limbang,2019-01-01,27.5,26.4,1.0,10.6,72.2,3.7,69.3
Sarawak,Limbang,2020-01-01,20.2,19.4,0.7,10.1,66.6,3.7,64.0
Sarawak,Limbang,2021-01-01,20.1,19.4,0.8,10.5,65.7,3.7,63.4
Sarawak,Limbang,2022-01-01,20.8,20.2,0.6,10.2,67.2,3.0,65.2
Sarawak,Limbang,2023-01-01,21.7,21.1,0.6,10.1,68.2,2.8,66.4
Sarawak,Limbang,2024-01-01,22.0,21.4,0.6,10.0,68.7,2.7,66.9
Sarawak,Lingga,2021-01-01,,,,,,,
Sarawak,Lingga,2022-01-01,,,,,,,
Sarawak,Lingga,2023-01-01,,,,,,,
Sarawak,Lingga,2024-01-01,,,,,,,
Sarawak,Lubok Antu,2018-01-01,14.8,14.3,0.6,6.7,68.9,3.9,66.5
Sarawak,Lubok Antu,2019-01-01,15.3,14.7,0.6,6.8,69.3,3.7,66.5
Sarawak,Lubok Antu,2020-01-01,10.8,10.4,0.4,5.8,65.0,3.6,62.7
Sarawak,Lubok Antu,2021-01-01,10.7,10.3,0.4,6.0,64.1,3.7,61.7
Sarawak,Lubok Antu,2022-01-01,10.7,10.3,0.3,5.9,64.2,2.9,62.0
Sarawak,Lubok Antu,2023-01-01,11.0,10.7,0.3,5.8,65.5,2.6,63.7
Sarawak,Lubok Antu,2024-01-01,11.1,10.8,0.2,5.6,66.3,2.1,64.7
Sarawak,Lundu,2018-01-01,18.8,18.1,0.6,7.5,71.4,3.3,68.8
Sarawak,Lundu,2019-01-01,19.4,18.8,0.6,7.3,72.7,3.0,70.4
Sarawak,Lundu,2020-01-01,15.0,14.4,0.5,7.8,65.8,3.6,63.2
Sarawak,Lundu,2021-01-01,14.9,14.3,0.5,8.1,64.8,3.6,62.2
Sarawak,Lundu,2022-01-01,15.0,14.6,0.4,8.1,65.1,2.9,63.2
Sarawak,Lundu,2023-01-01,15.6,15.5,0.4,7.7,67.2,2.5,66.5
Sarawak,Lundu,2024-01-01,16.1,15.7,0.4,7.6,67.9,2.7,66.2
Sarawak,Maradong,2018-01-01,14.8,14.3,0.5,8.4,63.8,3.6,61.6
Sarawak,Maradong,2019-01-01,15.3,14.8,0.5,8.2,65.0,3.3,63.0
Sarawak,Maradong,2020-01-01,7.5,7.2,0.3,4.0,65.4,3.7,62.6
Sarawak,Maradong,2021-01-01,8.6,8.0,0.6,5.1,62.9,6.7,58.4
Sarawak,Maradong,2022-01-01,8.8,8.3,0.5,5.0,63.8,5.7,60.1
Sarawak,Maradong,2023-01-01,9.2,8.7,0.5,4.9,65.1,5.5,61.7
Sarawak,Maradong,2024-01-01,9.3,8.8,0.5,4.9,65.4,5.1,62.0
Sarawak,Marudi,2018-01-01,33.2,32.3,0.9,18.3,64.4,2.7,62.7
Sarawak,Marudi,2019-01-01,33.4,32.5,0.8,18.6,64.2,2.5,62.5
Sarawak,Marudi,2020-01-01,8.6,8.1,0.5,4.9,63.5,6.0,60.0
Sarawak,Marudi,2021-01-01,8.9,8.7,0.2,4.8,65.2,2.5,63.5
Sarawak,Marudi,2022-01-01,9.0,8.8,0.2,4.5,66.7,2.2,65.2
Sarawak,Marudi,2023-01-01,9.1,8.9,0.2,4.4,67.5,1.7,65.9
Sarawak,Marudi,2024-01-01,9.0,8.8,0.2,4.2,68.1,2.1,66.7
Sarawak,Matu,2018-01-01,9.1,8.8,0.3,4.3,68.1,3.4,65.7
Sarawak,Matu,2019-01-01,9.5,9.2,0.3,4.2,69.5,3.5,67.2
Sarawak,Matu,2020-01-01,8.8,8.6,0.2,4.5,66.3,2.5,64.7
Sarawak,Matu,2021-01-01,7.5,7.2,0.3,4.2,64.2,4.0,61.5
Sarawak,Matu,2022-01-01,7.3,7.1,0.2,4.1,64.2,3.2,62.3
Sarawak,Matu,2023-01-01,7.6,7.3,0.2,4.0,65.5,3.1,62.9
Sarawak,Matu,2024-01-01,7.5,7.3,0.2,3.9,66.1,2.5,64.0
Sarawak,Miri,2018-01-01,162.5,157.0,5.4,82.3,66.4,3.4,64.1
Sarawak,Miri,2019-01-01,164.2,158.6,5.5,82.6,66.5,3.4,64.3
Sarawak,Miri,2020-01-01,124.6,120.4,4.2,58.4,68.1,3.4,65.8
Sarawak,Miri,2021-01-01,129.2,124.6,4.6,55.3,70.0,3.6,67.5
Sarawak,Miri,2022-01-01,130.7,127.0,3.7,54.5,70.6,2.8,68.6
Sarawak,Miri,2023-01-01,135.8,133.7,3.5,52.2,72.4,2.6,71.1
Sarawak,Miri,2024-01-01,138.5,134.8,3.7,51.4,72.9,2.7,71.0
Sarawak,Mukah,2018-01-01,23.0,22.2,0.8,11.6,66.5,3.5,64.2
Sarawak,Mukah,2019-01-01,23.3,22.6,0.8,11.6,66.7,3.2,64.8
Sarawak,Mukah,2020-01-01,20.0,19.3,0.7,9.8,67.2,3.6,64.8
Sarawak,Mukah,2021-01-01,20.1,19.4,0.7,10.3,66.2,3.7,63.8
Sarawak,Mukah,2022-01-01,20.4,19.8,0.6,9.6,68.1,3.0,66.0
Sarawak,Mukah,2023-01-01,21.1,20.7,0.6,9.2,69.9,2.8,68.3
Sarawak,Mukah,2024-01-01,21.4,20.9,0.6,8.8,70.9,2.6,69.2
Sarawak,Pakan,2018-01-01,8.8,8.5,0.3,3.2,73.5,3.6,70.8
Sarawak,Pakan,2019-01-01,9.1,8.8,0.3,3.1,74.6,3.4,72.1
Sarawak,Pakan,2020-01-01,6.6,6.4,0.2,3.9,62.9,3.0,61.0
Sarawak,Pakan,2021-01-01,6.6,6.5,0.2,4.1,62.1,2.8,60.7
Sarawak,Pakan,2022-01-01,6.7,6.5,0.2,4.0,62.5,2.5,60.7
Sarawak,Pakan,2023-01-01,7.0,6.8,0.1,4.0,63.8,1.7,61.8
Sarawak,Pakan,2024-01-01,7.0,6.9,0.1,3.9,64.1,1.6,63.3
Sarawak,Pantu,2021-01-01,,,,,,,
Sarawak,Pantu,2022-01-01,,,,,,,
Sarawak,Pantu,2023-01-01,,,,,,,
Sarawak,Pantu,2024-01-01,,,,,,,
Sarawak,Pusa,2018-01-01,,,,,,,
Sarawak,Pusa,2019-01-01,,,,,,,
Sarawak,Pusa,2020-01-01,6.3,6.1,0.1,5.7,52.5,2.0,50.8
Sarawak,Pusa,2021-01-01,6.1,6.0,0.1,5.9,50.5,1.6,50.0
Sarawak,Pusa,2022-01-01,6.2,6.1,0.1,5.9,51.2,1.5,50.4
Sarawak,Pusa,2023-01-01,6.6,6.6,0.1,5.8,53.5,1.2,53.2
Sarawak,Pusa,2024-01-01,6.9,6.8,0.1,5.8,54.2,1.7,53.5
Sarawak,Samarahan,2018-01-01,45.0,43.2,1.7,22.4,66.7,3.9,64.1
Sarawak,Samarahan,2019-01-01,45.6,43.9,1.7,23.1,66.4,3.7,63.9
Sarawak,Samarahan,2020-01-01,64.0,60.5,3.5,30.6,67.7,5.5,64.0
Sarawak,Samarahan,2021-01-01,66.3,62.2,4.1,32.1,67.4,6.2,63.2
Sarawak,Samarahan,2022-01-01,68.2,64.4,3.9,31.0,68.8,5.7,64.9
Sarawak,Samarahan,2023-01-01,70.9,67.1,3.8,30.4,70.0,5.3,66.2
Sarawak,Samarahan,2024-01-01,72.0,67.9,4.1,29.6,70.9,5.7,66.8
Sarawak,Saratok,2018-01-01,23.5,22.9,0.7,11.8,66.5,2.8,64.9
Sarawak,Saratok,2019-01-01,24.3,23.7,0.6,11.9,67.1,2.5,65.5
Sarawak,Saratok,2020-01-01,10.8,10.4,0.4,5.8,65.0,3.9,62.7
Sarawak,Saratok,2021-01-01,10.6,10.2,0.4,6.0,63.9,4.0,61.4
Sarawak,Saratok,2022-01-01,10.6,10.3,0.4,5.9,64.1,3.3,62.4
Sarawak,Saratok,2023-01-01,10.9,10.6,0.4,5.8,65.5,3.3,63.5
Sarawak,Saratok,2024-01-01,11.0,10.6,0.3,5.7,65.9,3.1,63.5
Sarawak,Sarikei,2018-01-01,30.1,29.2,0.9,14.5,67.4,2.9,65.5
Sarawak,Sarikei,2019-01-01,31.4,30.5,0.9,14.0,69.2,2.8,67.2
Sarawak,Sarikei,2020-01-01,20.1,19.0,1.1,10.0,66.8,5.4,63.1
Sarawak,Sarikei,2021-01-01,20.0,18.7,1.2,10.3,65.9,6.2,61.7
Sarawak,Sarikei,2022-01-01,20.6,19.4,1.2,10.0,67.4,5.7,63.4
Sarawak,Sarikei,2023-01-01,21.4,20.4,1.0,9.7,68.7,4.5,65.6
Sarawak,Sarikei,2024-01-01,21.6,20.7,0.9,9.7,69.0,4.3,66.1
Sarawak,Sebauh,2018-01-01,,,,,,,
Sarawak,Sebauh,2019-01-01,,,,,,,
Sarawak,Sebauh,2020-01-01,15.5,15.2,0.3,7.7,66.8,2.1,65.5
Sarawak,Sebauh,2021-01-01,14.6,14.2,0.3,7.6,65.7,2.4,64.0
Sarawak,Sebauh,2022-01-01,15.5,15.2,0.3,7.5,67.3,1.9,66.1
Sarawak,Sebauh,2023-01-01,17.1,16.9,0.2,7.9,68.3,1.5,67.6
Sarawak,Sebauh,2024-01-01,17.2,17.0,0.2,7.9,68.7,1.4,67.7
Sarawak,Sebuyau,2021-01-01,,,,,,,
Sarawak,Sebuyau,2022-01-01,,,,,,,
Sarawak,Sebuyau,2023-01-01,,,,,,,
Sarawak,Sebuyau,2024-01-01,,,,,,,
Sarawak,Selangau,2018-01-01,12.0,11.6,0.4,6.1,66.4,3.6,64.1
Sarawak,Selangau,2019-01-01,12.5,12.1,0.4,5.9,67.8,3.3,65.8
Sarawak,Selangau,2020-01-01,8.8,8.5,0.3,4.9,64.0,3.3,62.0
Sarawak,Selangau,2021-01-01,8.6,8.4,0.3,5.1,62.8,3.2,61.3
Sarawak,Selangau,2022-01-01,8.8,8.6,0.2,5.1,63.2,2.5,61.9
Sarawak,Selangau,2023-01-01,9.3,9.2,0.2,5.0,65.4,1.9,64.3
Sarawak,Selangau,2024-01-01,9.6,9.4,0.2,4.9,66.2,2.3,64.8
Sarawak,Serian,2018-01-01,51.5,49.9,1.6,20.8,71.2,3.2,69.0
Sarawak,Serian,2019-01-01,53.0,51.3,1.6,20.7,71.9,3.0,69.6
Sarawak,Serian,2020-01-01,31.6,29.5,2.1,27.8,53.2,6.7,49.7
Sarawak,Serian,2021-01-01,31.8,29.1,2.7,26.5,54.5,8.6,49.9
Sarawak,Serian,2022-01-01,32.3,29.8,2.4,26.4,55.0,7.6,50.8
Sarawak,Serian,2023-01-01,39.8,31.9,2.4,25.4,57.5,6.9,48.9
Sarawak,Serian,2024-01-01,34.5,32.2,2.3,25.3,57.7,6.7,53.8
Sarawak,Sibu,2018-01-01,128.1,123.2,4.9,60.6,67.9,3.8,65.3
Sarawak,Sibu,2019-01-01,133.0,128.3,4.7,61.5,68.4,3.6,66.0
Sarawak,Sibu,2020-01-01,119.0,111.3,7.7,56.6,67.8,6.5,63.4
Sarawak,Sibu,2021-01-01,119.4,111.2,8.1,56.2,68.0,6.8,63.3
Sarawak,Sibu,2022-01-01,122.4,115.1,7.3,55.1,69.0,6.0,64.8
